municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Restinga;Franca;Franca;    7384;   166543; 22,554577;64,64898;242; 52,450091; 60,65831; 91,48; 97,35; 97,35; 11,4853813; 88,6725213; 17,745527
Santo Antônio da Alegria;Ribeirão Preto;Ribeirão Preto;    6829;   145308; 21,278079;64,62389;243; 86,025408; 90,12539;100,00; 86,05; 82,33;  0,0000000; 34,9497264; 37,510558
Pedrinhas Paulista;Marília;Assis;    3087;   150809; 48,852932;64,61753;244; 47,912886; 58,46395; 88,27;100,00;100,00;  5,8167085; 84,8288151; 31,647854
Botucatu;Sorocaba;Botucatu;  142546;  4290669; 30,100241;64,57372;245; 46,279492; 56,42633;100,00; 92,56; 92,56; 27,0527261; 69,8867252; 31,824464
Castilho;Araçatuba;Andradina;   20362;  1001129; 49,166536;64,53990;246; 42,286751; 52,19436; 74,71; 98,53; 98,53; 30,7248688; 76,2886598; 43,054596
Rifaina;Franca;Franca;    3618;   111766; 30,891653;64,48563;247; 48,457350; 58,93417; 85,93; 92,19; 92,19; 25,1224863; 98,4599720; 14,601090
Ocauçu;Marília;Marília;    4308;   124606; 28,924327;64,48122;248; 89,292196; 93,73041; 79,85; 83,48; 83,48; 14,6355438; 49,4972636; 21,884358
Jaborandi;Barretos;Barretos;    6917;   142101; 20,543733;64,47938;249; 54,264973; 63,63636; 81,62;100,00;100,00; 12,8334352; 83,9378898; 19,542348
Borborema;Região Administrativa Central;Araraquara;   15791;   409114; 25,908049;64,47408;250; 71,687840; 79,31034; 90,13; 87,00; 87,00;  7,5758867; 57,0446735; 36,043922
Gavião Peixoto;Região Administrativa Central;Araraquara;    4739;   839815;177,213547;64,46273;251; 90,562613; 90,28213;100,00; 61,86; 61,86;  6,8524675; 36,3624793; 67,922138
Nhandeara;São José do Rio Preto;Votuporanga;   11398;   318012; 27,900684;64,44253;252; 49,001815; 56,11285; 86,03; 97,51; 97,51; 16,2825672; 94,9980909; 18,094909
Taguaí;Itapeva;Itapeva;   13111;   225749; 17,218290;64,44169;253; 51,724138; 61,28527; 87,62; 89,95; 89,95;  7,9097455;100,0000000; 27,094371
Votuporanga;São José do Rio Preto;Votuporanga;   92768;  2808057; 30,269673;64,43050;254; 53,539020; 51,41066;100,00; 79,82; 79,82; 15,7724217; 85,3506427; 49,731245
Sandovalina;Presidente Prudente;Presidente Prudente;    4174;   396791; 95,062530;64,41143;255; 52,087114; 60,81505; 72,03;100,00;100,00; 13,1638262; 92,3125875; 24,882899
Taubaté;São José dos Campos;Taubaté;  307953; 16799723; 54,552880;64,38124;256; 43,920145; 55,95611;100,00; 95,78; 95,78; 15,2988587; 66,8957617; 41,419028
Luís Antônio;Ribeirão Preto;Ribeirão Preto;   14021;  1323520; 94,395550;64,33746;257; 99,637024; 97,80564; 88,40; 74,62; 74,62;  8,1720220; 67,6594120;  3,785610
Oscar Bressane;Marília;Marília;    2616;    83957; 32,093654;64,33433;258; 49,727768; 58,30721; 87,32;100,00;100,00;  3,5818481; 86,7506682; 28,987177
Timburi;Marília;Ourinhos;    2690;    47738; 17,746468;64,31546;259; 50,635209; 60,03135; 69,66;100,00;100,00; 21,6155255;100,0000000; 12,581586
Martinópolis;Presidente Prudente;Presidente Prudente;   26123;   462852; 17,718179;64,25210;260; 83,847550; 84,16928;100,00; 80,31; 80,31;  0,6898197; 56,6628484; 28,027336
Agudos;Bauru;Bauru;   36880;  2063022; 55,938774;64,24658;261; 41,197822;100,00000;100,00; 91,11; 65,67; 27,2841342; 74,3668067; 14,343853
Elisiário;São José do Rio Preto;Catanduva;    3537;    67898; 19,196494;64,24175;262; 76,769510; 75,70533; 91,59; 88,67; 88,67;  0,0000000; 66,1066565; 26,422483
Aparecida d'Oeste;São José do Rio Preto;Jales;    4329;   125464; 28,982213;64,14840;263; 40,471869; 41,37931; 89,16; 95,91; 95,91; 16,6981875; 94,0817106; 39,576135
São Manuel;Sorocaba;Botucatu;   40692;  1104715; 27,148211;64,14153;264; 49,909256; 59,40439; 99,90; 92,89; 92,89; 16,9772011; 69,5558101; 31,605621
Manduri;Sorocaba;Avaré;    9714;   209533; 21,570208;64,11547;265; 83,303085; 84,01254; 86,49; 71,56; 71,56;  0,0000000; 66,0557465; 49,942410
Engenheiro Coelho;Campinas;Campinas;   19497;   596633; 30,601272;64,07261;266; 75,680581; 82,44514; 73,14; 97,02; 97,02;  0,0000000; 57,1592211; 30,115949
Pirangi;Barretos;Barretos;   11323;   296223; 26,161176;64,06988;267; 70,417423; 76,95925;100,00; 95,33; 95,33;  4,8295730; 53,3409698; 16,351839
Terra Roxa;Barretos;Barretos;    9227;   147580; 15,994364;64,04847;268; 51,724138; 61,28527; 82,78;100,00;100,00; 13,3481827; 78,5668830; 24,683253
Pedregulho;Franca;Franca;   16645;   973303; 58,474196;63,99481;269; 51,179673; 60,97179; 78,35; 94,13; 94,13; 24,0025208; 89,7289042; 19,465561
Jaboticabal;Ribeirão Preto;Ribeirão Preto;   76563;  2752005; 35,944320;63,95311;270; 68,784029; 72,41379; 97,63; 94,04; 90,80;  3,8454443; 51,8263968; 32,285188
Torrinha;Campinas;Rio Claro;    9934;   213334; 21,475136;63,94467;271; 49,364791; 56,42633; 91,98; 98,38; 98,38; 17,8818673; 71,8849434; 27,259464
Pratânia;Sorocaba;Botucatu;    5126;   112344; 21,916504;63,91230;272; 52,087114; 61,12853; 91,54; 95,95; 95,95; 12,2048737; 72,2413135; 30,196575
Mira Estrela;São José do Rio Preto;Fernandópolis;    3045;    66657; 21,890640;63,90158;273; 51,179673; 59,56113; 62,69;100,00;100,00;  8,1957107;100,0000000; 29,586117
Ubarana;São José do Rio Preto;São José do Rio Preto;    6080;   349317; 57,453454;63,85154;274; 91,288566; 90,59561; 96,46; 70,00; 70,00;  6,0332017; 68,3976072; 18,037319
Santa Cruz da Esperança;Ribeirão Preto;Ribeirão Preto;    2110;    55604; 26,352607;63,82099;275; 52,087114; 61,91223; 83,00; 96,46; 96,46; 12,6780573; 92,3634975; 15,607003
Orindiúva;São José do Rio Preto;São José do Rio Preto;    6731;   438061; 65,081117;63,81396;276; 49,001815; 56,42633; 86,10; 88,80; 88,80; 20,6855615; 91,4343897; 29,263611
Morro Agudo;Franca;São Joaquim da Barra;   32220;  1328960; 41,246431;63,79487;277; 86,932849; 86,36364;100,00; 90,00; 90,00;  0,0000000; 37,3934072; 19,669047
Jaguariúna;Campinas;Campinas;   54204; 11346028;209,320862;63,78954;278; 69,872958; 74,29467; 97,11; 88,95; 76,35;  8,6605036; 65,6993764; 29,378791
