municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua;tarifa_esgoto;atendimento;coleta;tratamento;inv_per_capita;perdas_original;desempenho
Taiaçu;Barretos;Barretos;    6255;    92579; 14,800799;69,30787; 54;0,73;0,55;100,00; 89,41; 89,41;0,000000e+00; 30,99;113,56
Irapuã;São José do Rio Preto;Catanduva;    7878;   149375; 18,961031;69,29310; 55;2,76;2,50; 87,78; 99,56; 99,56;3,164921e+01; -0,11;125,26
Presidente Alves;Bauru;Bauru;    4155;    63297; 15,233935;69,25824; 56;2,73;2,42; 89,82;100,00;100,00;5,862591e+01;  0,12; 98,28
Araçatuba;Araçatuba;Araçatuba;  194874;  6970533; 35,769436;69,24766; 57;2,38;2,30; 98,07;100,00;100,00;1,394114e+02; 24,76;107,46
Dracena;Presidente Prudente;Dracena;   46324;  1166835; 25,188563;69,23298; 58;2,15;1,49;100,00; 96,00; 96,00;1,676786e+01; 19,01;114,50
Osvaldo Cruz;Presidente Prudente;Adamantina;   32709;   878449; 26,856492;69,17785; 59;3,02;2,79; 96,18;100,00;100,00;6,405518e+01;  2,02;112,70
Vitória Brasil;São José do Rio Preto;Jales;    1833;    33787; 18,432624;69,16010; 60;2,75;2,44; 89,59; 97,05; 97,05;3,396434e+01;  2,07;133,36
Santa Clara d'Oeste;São José do Rio Preto;Jales;    2134;    67158; 31,470478;69,15008; 61;2,83;2,57;100,00;100,00;100,00;3,131628e+01;  2,33;102,26
Santa Albertina;São José do Rio Preto;Jales;    5999;   194015; 32,341224;69,14407; 62;2,66;2,38;100,00;100,00;100,00;8,598717e+00;  0,97;100,67
Brotas;Campinas;Rio Claro;   23858;   804016; 33,700059;69,11772; 63;1,46;1,41;100,00;100,00;100,00;2,767593e+01; 33,79; 96,13
Dolcinópolis;São José do Rio Preto;Jales;    2136;    44854; 20,999064;69,07194; 64;2,89;2,64;100,00;100,00;100,00;1,708880e+01;  0,09;109,24
General Salgado;Araçatuba;Araçatuba;   10951;   259863; 23,729614;68,97042; 65;2,79;2,50;100,00; 97,68; 97,68;2,636167e+01;  0,78;103,98
Mirassolândia;São José do Rio Preto;São José do Rio Preto;    4758;   110125; 23,145229;68,91851; 66;0,12;0,07;100,00; 75,76; 75,76;0,000000e+00;  0,00; 25,39
Tarumã;Marília;Assis;   14547;   890298; 61,201485;68,86829; 67;2,85;2,53; 99,41; 98,55; 98,55;2,908236e+01; 10,24;132,45
Jales;São José do Rio Preto;Jales;   49110;  1394460; 28,394624;68,84360; 68;2,99;2,75;100,00;100,00;100,00;3,653739e+01;  4,73;115,57
Pongaí;Bauru;Lins;    3480;    76270; 21,916667;68,82450; 69;2,78;2,55; 96,53;100,00;100,00;1,921134e+01;  0,23;102,95
Dirce Reis;São José do Rio Preto;Jales;    1785;    60552; 33,922689;68,80098; 70;2,65;2,37; 83,26; 97,94; 97,94;2,638401e+01;-10,22;128,17
Anhumas;Presidente Prudente;Presidente Prudente;    4053;    83443; 20,587960;68,77079; 71;2,84;2,62; 98,14; 97,95; 97,95;5,692414e+01; -6,03; 90,89
Quintana;Marília;Tupã;    6530;   157247; 24,080704;68,75881; 72;3,02;2,90;100,00; 98,61; 98,61;7,798670e+01;  0,12; 93,60
Nova Independência;Araçatuba;Andradina;    3745;   134231; 35,842724;68,68983; 73;0,44;0,34;100,00; 93,08; 93,08;8,980170e+00; 27,65; 27,02
Cardoso;São José do Rio Preto;Votuporanga;   12328;   259557; 21,054267;68,68774; 74;2,77;2,53;100,00; 93,49; 93,49;7,954248e+01; -3,64; 90,85
Parapuã;Marília;Tupã;   11073;   358234; 32,352027;68,66729; 75;2,77;2,48; 93,21;100,00;100,00;2,865458e+01; -0,31; 97,37
Severínia;Barretos;Barretos;   17115;   233916; 13,667309;68,60718; 76;1,02;0,71;100,00; 95,33; 94,38;6,492382e+00; 33,98; 82,73
Magda;São José do Rio Preto;Votuporanga;    3185;   106567; 33,459027;68,60261; 77;2,84;2,80; 94,26;100,00;100,00;6,639989e+01;  2,44; 97,98
Paraguaçu Paulista;Marília;Assis;   45255;  1235133; 27,292741;68,58741; 78;2,89;2,66; 94,14;100,00;100,00;1,187918e+02;  7,38; 91,55
Valentim Gentil;São José do Rio Preto;Votuporanga;   12800;   328002; 25,625156;68,51559; 79;2,80;2,53;100,00;100,00;100,00;2,781561e+01;  5,17; 97,68
Tupã;Marília;Tupã;   65758;  1760413; 26,771085;68,51497; 80;3,10;2,88;100,00; 98,21; 98,21;4,217685e+01;  3,64;121,76
Álvares Machado;Presidente Prudente;Presidente Prudente;   24813;   509446; 20,531415;68,47539; 81;2,85;2,57;100,00;100,00;100,00;6,271424e+01;  6,65; 87,04
Rubiácea;Araçatuba;Araçatuba;    3046;    62016; 20,359816;68,47385; 82;2,65;2,37; 92,50;100,00;100,00;1,904331e+01; -2,76; 92,02
Três Fronteiras;São José do Rio Preto;Jales;    5767;   107546; 18,648517;68,45825; 83;2,77;2,48;100,00; 95,73; 95,73;7,392892e+01;  3,51; 86,26
Cândido Mota;Marília;Assis;   31263;  1005667; 32,167962;68,40673; 84;1,47;1,30; 93,77; 98,00; 98,00;4,832661e+00; 24,59; 95,10
Nova Canaã Paulista;São José do Rio Preto;Jales;    1978;    36621; 18,514156;68,37567; 85;2,73;2,42; 85,82;100,00;100,00;6,830898e+01; -6,50; 85,61
Mariápolis;Presidente Prudente;Adamantina;    4087;    60752; 14,864693;68,36647; 86;2,69;2,40; 85,11;100,00;100,00;3,729665e+01;  0,86;102,67
Ribeirão dos Índios;Presidente Prudente;Presidente Prudente;    2243;    37723; 16,818101;68,32190; 87;2,62;2,33; 90,53;100,00;100,00;9,227643e+00;  2,63;109,03
Narandiba;Presidente Prudente;Presidente Prudente;    4746;   204905; 43,174252;68,26791; 88;2,85;2,57; 95,45; 99,94; 99,94;2,478620e+01;-13,32; 93,63
Floreal;São José do Rio Preto;Votuporanga;    2982;    59454; 19,937626;68,23991; 89;2,85;2,59; 92,37;100,00;100,00;3,403588e+01;  4,37;110,01
Santa Adélia;São José do Rio Preto;Catanduva;   15331;   323261; 21,085448;68,23116; 90;0,75;0,61; 98,43; 76,81; 69,20;3,756843e+01; 13,17; 81,65
Nova Guataporanga;Presidente Prudente;Dracena;    2304;    27941; 12,127170;68,22027; 91;2,77;2,49; 94,54;100,00;100,00;2,992564e+01;  7,78;109,96
Urânia;São José do Rio Preto;Jales;    9148;   191071; 20,886642;68,21863; 92;2,93;2,82; 94,21;100,00;100,00;3,356708e+01;  2,40;111,70
Poloni;São José do Rio Preto;São José do Rio Preto;    5935;   143949; 24,254254;68,21285; 93;2,86;2,68; 92,87;100,00;100,00;5,449459e+01;  2,96; 96,67
Franca;Franca;Franca;  347237;  9409310; 27,097660;68,19525; 94;3,00;2,76;100,00; 98,66; 98,66;9,573892e+01; 10,81;103,63
Monções;São José do Rio Preto;Votuporanga;    2249;    73462; 32,664295;68,15977; 95;2,75;2,49; 98,45; 99,64; 99,64;6,554249e+01;  8,51; 83,30
Fernandópolis;São José do Rio Preto;Fernandópolis;   68670;  1930276; 28,109451;68,14773; 96;3,00;2,75;100,00; 96,25; 96,25;5,447335e+01;  5,46;114,05
Santo Anastácio;Presidente Prudente;Presidente Prudente;   21030;   422326; 20,082073;68,14068; 97;2,80;2,54; 92,12;100,00;100,00;3,552783e+01;  8,61;117,35
Uru;Bauru;Lins;    1207;    54568; 45,209611;68,13948; 98;2,86;2,64;100,00;100,00;100,00;1,937523e+01; -7,45; 86,20
Votorantim;Sorocaba;Sorocaba;  119898;  3001782; 25,036131;68,12408; 99;2,67;2,31; 96,19; 95,44; 90,11;8,386377e+01;  9,51;108,88
Piacatu;Araçatuba;Araçatuba;    5846;    95837; 16,393602;68,08680;100;2,74;2,45; 96,00; 99,37; 99,37;5,741722e+01;  9,47; 94,31
Estrela d'Oeste;São José do Rio Preto;Fernandópolis;    8466;   859459;101,518899;68,04777;101;2,94;2,67; 94,44; 95,63; 95,63;5,673617e+01;  1,10;108,05
Tarabai;Presidente Prudente;Presidente Prudente;    7302;   108579; 14,869762;68,01819;102;2,69;2,40; 86,95;100,00;100,00;3,800639e+01;  1,30; 91,67
Sud Mennucci;Araçatuba;Andradina;    7733;   179283; 23,184146;68,00865;103;2,82;2,52; 96,17; 99,45; 99,45;2,156538e+01;  3,42; 99,15
Quatá;Marília;Tupã;   13893;   457945; 32,962283;68,00850;104;2,80;2,52; 93,10;100,00;100,00;6,991616e+01;  7,41; 90,27
Ibirá;São José do Rio Preto;São José do Rio Preto;   12096;   245908; 20,329696;67,94645;105;2,77;2,59; 90,61; 97,25; 97,25;6,660195e+01;  0,63; 90,17
Nova Granada;São José do Rio Preto;São José do Rio Preto;   21071;   459182; 21,792131;67,93679;106;2,78;2,58; 92,94; 97,37; 97,37;4,877190e+01;  3,79;102,14
Oriente;Marília;Marília;    6473;    99054; 15,302642;67,89351;107;2,68;2,38; 95,21;100,00;100,00;1,482242e+01;  3,24; 89,07
Flora Rica;Presidente Prudente;Adamantina;    1571;    39238; 24,976448;67,87117;108;2,69;2,41; 90,73;100,00;100,00;2,855670e+01;  5,25; 98,07
Nipoã;São José do Rio Preto;São José do Rio Preto;    4994;    87351; 17,491189;67,85299;109;2,67;2,41; 88,53; 97,30; 97,30;4,362379e+01; -0,04; 90,22
Saltinho;Campinas;Piracicaba;    8019;   234405; 29,231201;67,84289;110;2,63;2,31; 89,71;100,00;100,00;2,880892e+00; 11,33;139,16
Sagres;Presidente Prudente;Adamantina;    2453;    43299; 17,651447;67,81703;111;2,70;2,40; 87,52;100,00;100,00;1,959073e+01;  3,61;106,42
Estrela do Norte;Presidente Prudente;Presidente Prudente;    2769;    64470; 23,282774;67,81429;112;2,88;2,60; 94,24;100,00;100,00;2,217157e+01;  0,83; 94,32
Santa Fé do Sul;São José do Rio Preto;Jales;   31802;  1013729; 31,876266;67,79244;113;1,78;1,51;100,00;100,00; 84,57;3,518001e+01; 25,18; 94,63
Gastão Vidigal;Araçatuba;Araçatuba;    4683;    66694; 14,241725;67,77361;114;2,69;2,44; 80,40;100,00;100,00;7,401638e+01;  1,73; 89,45
São Francisco;São José do Rio Preto;Jales;    2850;    47985; 16,836842;67,73953;115;2,77;2,49; 91,19;100,00;100,00;2,368065e+01;  1,81; 93,15
Pontalinda;São José do Rio Preto;Jales;    4519;    84618; 18,724939;67,69890;116;2,64;2,35; 81,97;100,00;100,00;3,524060e+01; -0,77; 90,89
Vargem Grande do Sul;Campinas;São João da Boa Vista;   42310;   945585; 22,348972;67,68482;117;1,58;1,35; 98,80; 88,34; 79,51;1,684558e+01; 13,99; 98,90
Fernando Prestes;Região Administrativa Central;Araraquara;    5782;   199549; 34,512107;67,64294;118;2,73;2,46;100,00; 94,78; 94,78;6,474345e+01;  5,08; 80,62
Itapira;Campinas;Campinas;   73844;  3457944; 46,827691;67,63645;119;2,00;2,79; 99,19;100,00;100,00;3,520523e+01; 20,64;100,89
Mombuca;Campinas;Piracicaba;    3470;    92901; 26,772622;67,62982;120;2,97;2,63; 92,12; 85,83; 85,83;5,245983e+02;  6,72; 66,15
José Bonifácio;São José do Rio Preto;São José do Rio Preto;   36198;  1389991; 38,399663;67,61113;121;0,84;0,90; 90,60; 83,30; 83,30;0,000000e+00; 20,72;119,96
Guaraci;Barretos;Barretos;   10964;   376680; 34,356074;67,58740;122;1,06;0,70; 89,97; 85,22; 85,22;0,000000e+00; 13,42; 89,14
Bastos;Marília;Tupã;   21073;  1048120; 49,737579;67,58463;123;3,02;2,74; 89,38; 98,23; 98,23;3,892662e+01;  0,69;112,46
Rosana;Presidente Prudente;Presidente Prudente;   17795;  1255100; 70,531048;67,56554;124;2,97;2,69; 88,77; 99,94; 99,94;3,740179e+01;  2,94;108,67
Guapiaçu;São José do Rio Preto;São José do Rio Preto;   20637;   528980; 25,632602;67,55319;125;1,23;0,97; 88,43; 83,48; 83,48;0,000000e+00; 37,29;199,69
Planalto;São José do Rio Preto;São José do Rio Preto;    5067;   220380; 43,493191;67,51829;126;2,79;2,55; 84,98; 97,39; 97,39;3,820194e+01; -1,73;106,41
Santa Salete;São José do Rio Preto;Jales;    1536;    33653; 21,909505;67,51580;127;2,78;2,45; 78,82;100,00;100,00;2,396596e+01; -3,24;113,34
Lins;Bauru;Lins;   77021;  3573980; 46,402669;67,49579;128;2,69;2,52;100,00; 91,21; 91,21;3,768440e+01;  7,18;117,16
Catiguá;São José do Rio Preto;Catanduva;    7700;   118322; 15,366494;67,47899;129;2,67;2,42;100,00; 96,32; 96,32;1,290983e+01;  4,72; 95,01
Alfredo Marcondes;Presidente Prudente;Presidente Prudente;    4135;    83000; 20,072551;67,47521;130;2,89;2,69;100,00; 93,97; 93,97;3,669492e+01; -4,21; 95,52
Lourdes;Araçatuba;Araçatuba;    2270;    38854; 17,116300;67,46030;131;2,87;2,52; 82,48;100,00;100,00;1,619882e+01; -0,35;115,92
Turmalina;São José do Rio Preto;Fernandópolis;    1827;    61407; 33,610837;67,43422;132;2,67;2,39; 92,84;100,00;100,00;2,077654e+01; -7,78; 69,86
Jeriquara;Franca;Franca;    3202;    83557; 26,095253;67,42255;133;2,77;2,44;100,00;100,00;100,00;1,394956e+01;  5,69; 82,42
Palmeira d'Oeste;São José do Rio Preto;Jales;    9496;   169315; 17,830139;67,41910;134;2,85;2,55; 90,67;100,00;100,00;2,611541e+01;  2,88; 95,88
Teodoro Sampaio;Presidente Prudente;Presidente Prudente;   22914;   479182; 20,912193;67,41225;135;2,86;2,61; 90,22; 96,84; 96,84;5,622016e+01;  2,06; 96,69
Presidente Epitácio;Presidente Prudente;Presidente Prudente;   43897;   853036; 19,432672;67,40251;136;2,94;2,62; 93,40; 95,75; 95,75;5,015698e+01;  2,05;100,98
Aspásia;São José do Rio Preto;Jales;    1842;    33181; 18,013572;67,37400;137;2,63;2,32; 88,22;100,00;100,00;1,525173e+01;  3,79; 93,07
Novo Horizonte;São José do Rio Preto;Catanduva;   40225;  1268736; 31,540982;67,33401;138;3,05;2,81; 95,06; 96,90; 96,90;2,244200e+01;  4,57;127,13
Birigui;Araçatuba;Araçatuba;  120692;  3146638; 26,071637;67,32255;139;1,38;1,18;100,00; 98,72; 98,72;8,720885e-01; 56,43;157,87
Riversul;Itapeva;Itapeva;    5792;    64894; 11,204075;67,29454;140;2,60;2,31; 81,79;100,00;100,00;8,057556e+01;  2,50; 66,20
Cândido Rodrigues;Região Administrativa Central;Araraquara;    2792;   115329; 41,306948;67,29341;141;2,94;2,80; 86,72; 99,90; 99,90;5,307036e+01;  2,14;100,70
Auriflama;Araçatuba;Araçatuba;   15085;   294071; 19,494266;67,29067;142;2,77;2,52; 95,36; 94,34; 94,34;1,817381e+01; -1,12;101,91
Matão;Região Administrativa Central;Araraquara;   82307;  3821843; 46,433997;67,26069;143;2,10;1,16;100,00;100,00;100,00;8,913291e+01; 36,29; 56,21
Monte Alto;Ribeirão Preto;Ribeirão Preto;   49979;  1622754; 32,468717;67,23819;144;3,05;2,81;100,00;100,00;100,00;3,029496e+01;  5,44; 93,58
Iacri;Marília;Tupã;    6434;   205719; 31,973733;67,22303;145;2,64;2,36; 88,88;100,00;100,00;1,900406e+01;  6,36; 95,62
Guaíra;Barretos;Barretos;   40287;  3697276; 91,773426;67,20103;146;0,66;0,41;100,00; 80,00; 80,00;5,802688e+00; 22,83; 65,57
Mesópolis;São José do Rio Preto;Jales;    1926;    57279; 29,739875;67,17356;147;2,70;2,39; 93,25; 94,67; 94,67;2,364472e+01;  1,52; 95,43
Luiziânia;Araçatuba;Araçatuba;    5633;    70636; 12,539677;67,17251;148;2,72;2,46; 86,27;100,00;100,00;2,113001e+01;  1,31; 90,81
Coronel Macedo;Itapeva;Itapeva;    4840;    80082; 16,545868;67,13910;149;2,60;2,31; 82,70; 97,83; 97,83;6,607942e+01; -7,06; 69,60
Cravinhos;Ribeirão Preto;Ribeirão Preto;   34651;  1035236; 29,876079;67,09993;150;1,32;1,07; 97,51; 91,81; 91,81;9,246243e-01; 26,21; 88,01
Indiaporã;São José do Rio Preto;Fernandópolis;    3951;    92773; 23,480891;67,06703;151;2,82;2,52; 84,60; 98,59; 98,59;8,441886e+00; -1,05;115,10
Palmares Paulista;São José do Rio Preto;Catanduva;   12730;   118360;  9,297722;67,02812;152;2,55;2,32; 84,89;100,00;100,00;2,184479e+01;  7,44; 97,42
Assis;Marília;Assis;  102924;  3303948; 32,100851;67,02331;153;3,11;2,98; 99,98; 99,56; 99,56;2,606085e+01; 10,09;119,46
Inúbia Paulista;Presidente Prudente;Adamantina;    3933;   139899; 35,570557;67,00474;154;3,08;2,94; 88,80;100,00;100,00;1,002065e+02;  5,10; 91,62
Santa Mercedes;Presidente Prudente;Dracena;    2945;    77175; 26,205433;66,95648;155;2,79;2,50;100,00; 95,51; 95,51;2,275824e+01;  6,01; 93,23
Adamantina;Presidente Prudente;Adamantina;   35139;  1054541; 30,010558;66,87214;156;3,10;2,91;100,00; 97,37; 97,37;5,883487e+01; 11,44;110,67
Emilianópolis;Presidente Prudente;Presidente Prudente;    3197;    60725; 18,994370;66,85619;157;2,65;2,36; 90,85; 98,45; 98,45;1,028514e+01; 10,93;114,69
Guzolândia;Araçatuba;Araçatuba;    5179;    61632; 11,900367;66,79314;158;2,70;2,45; 85,51;100,00;100,00;1,809156e+01;  3,60; 93,55
Maracaí;Marília;Assis;   13981;   415247; 29,700808;66,68737;159;2,78;2,50; 92,48;100,00;100,00;1,130947e+01; 17,15;130,23
Pirapozinho;Presidente Prudente;Presidente Prudente;   27021;   962053; 35,603901;66,67914;160;3,01;2,91; 96,78; 97,09; 97,09;3,305353e+01;  4,44;102,62
Piquerobi;Presidente Prudente;Presidente Prudente;    3693;    54210; 14,679123;66,64272;161;2,72;2,42; 79,16;100,00;100,00;2,858812e+01; -7,32; 87,01
Monte Aprazível;São José do Rio Preto;São José do Rio Preto;   24393;   724490; 29,700734;66,59986;162;2,84;2,59; 91,68; 95,07; 95,07;2,599720e+01;  4,11;107,18
Guará;Franca;Franca;   21081;   422381; 20,036099;66,56558;163;2,19;2,17;100,00; 99,97; 99,97;8,818672e+00; 25,43; 97,13
Alto Alegre;Araçatuba;Araçatuba;    4154;   110458; 26,590756;66,55448;164;2,70;2,38; 82,09;100,00;100,00;2,095178e+01;  2,15; 87,53
Cristais Paulista;Franca;Franca;    8424;   195654; 23,225783;66,54982;165;0,65;0,45; 71,85; 87,92; 87,92;3,805175e+01; 26,87; 72,03
Buritama;Araçatuba;Araçatuba;   16841;   604101; 35,870851;66,54845;166;2,02;1,86;100,00; 81,06; 81,06;3,134456e+01; 11,44;109,62
Sales;São José do Rio Preto;Catanduva;    6144;   142344; 23,167969;66,51617;167;1,07;1,36; 90,02; 97,52; 95,25;0,000000e+00; 34,96;107,35
