municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Platina;Marília;Assis;    3488;    90806; 26,033830;64,55811;195; 53,539020; 62,53918; 74,35;100,00;100,00;3,249384e-02; 96,4872089; 29,517008
Lucélia;Presidente Prudente;Adamantina;   21461;   428339; 19,958949;64,55545;196; 49,183303; 58,30721; 89,86;100,00;100,00;1,714997e+00; 85,9106529; 31,467404
Inúbia Paulista;Presidente Prudente;Adamantina;    3933;   139899; 35,570557;64,53082;197; 46,279492; 53,91850; 88,80;100,00;100,00;7,386196e+00; 93,5089729; 26,353375
União Paulista;São José do Rio Preto;São José do Rio Preto;    1793;    49113; 27,391523;64,50810;198; 50,090744; 59,71787; 78,44;100,00;100,00;1,562599e+00;100,0000000; 26,253551
Colômbia;Barretos;Barretos;    6225;   358220; 57,545382;64,50224;199; 53,357532; 63,00940; 95,47; 98,99; 98,99;2,227193e+00; 87,9597811; 16,013975
Cruzália;Marília;Assis;    2161;   131219; 60,721425;64,50082;200; 51,179673; 60,81505; 89,43;100,00;100,00;3,223676e-01; 82,3851343; 31,874376
Guariba;Ribeirão Preto;Ribeirão Preto;   39216;   889457; 22,680972;64,44855;201; 53,357532; 62,22571; 98,28; 98,41; 98,41;1,498817e+00; 74,1504391; 29,255932
Nova Luzitânia;Araçatuba;Araçatuba;    3953;    46502; 11,763724;64,42503;202; 52,813067; 62,06897; 78,64; 96,10; 96,10;3,278731e+00;100,0000000; 26,399447
Marinópolis;São José do Rio Preto;Jales;    2140;    34589; 16,163084;64,42016;203; 50,635209; 60,18809; 81,58;100,00;100,00;9,336120e-01; 95,0490009; 26,975351
Bento de Abreu;Araçatuba;Araçatuba;    2925;   169771; 58,041368;64,32381;204; 51,542650; 60,97179; 92,83; 99,70; 99,70;2,008338e+00; 81,4305715; 26,407126
Coroados;Araçatuba;Araçatuba;    5885;   161861; 27,503993;64,28921;205; 52,994555; 62,06897; 87,29; 95,03; 95,03;2,882130e+00; 94,6035382; 24,414497
Elisiário;São José do Rio Preto;Catanduva;    3537;    67898; 19,196494;64,24175;206; 76,769510; 75,70533; 91,59; 88,67; 88,67;0,000000e+00; 66,1066565; 26,422483
Taquarituba;Itapeva;Itapeva;   23240;   650632; 27,996213;64,16900;207; 42,831216; 46,70846; 95,62; 99,99; 99,99;1,333511e+00; 92,9235077; 33,955310
Martinópolis;Presidente Prudente;Presidente Prudente;   26123;   462852; 17,718179;64,16647;208; 83,847550; 84,16928;100,00; 80,31; 80,31;4,758512e-03; 56,6628484; 28,027336
Manduri;Sorocaba;Avaré;    9714;   209533; 21,570208;64,11547;209; 83,303085; 84,01254; 86,49; 71,56; 71,56;0,000000e+00; 66,0557465; 49,942410
Caiabu;Presidente Prudente;Presidente Prudente;    4211;    60597; 14,390169;64,11141;210; 53,720508; 62,53918; 85,16; 93,13; 93,13;5,596278e+00;100,0000000; 19,615296
Cajuru;Ribeirão Preto;Ribeirão Preto;   25655;   575023; 22,413682;64,10985;211; 51,179673; 61,12853; 90,81; 95,79; 95,79;6,377106e+00; 89,3470790; 22,456423
