"ranking","municipio","score","regiao_governo","regiao_administrativa","pib2017","pib_per_capita2017","tipo_prestador","populacao","inv_per_capita","tarifa_agua","desempenho","perdas","consumo_agua","atendimento","tarifa_esgoto","coleta","tratamento","tarifa_agua_norm","tarifa_esgoto_norm","inv_per_capita_norm","perdas_norm","desempenho_norm"
71,"Tarumã",67.3060905293314,"Assis","Marília",890298,61.2014848422355,"Soc. de Econ. Mista com Adm. Pública",14547,29.0823609235755,2.85,132.45,10.24,153.65,99.41,2.53,98.55,98.55,50.453720508167,60.3448275862069,2.14365408250982,86.9670357642866,42.0294862934808
72,"Dirce Reis",67.3008935080812,"Jales","São José do Rio Preto",60552,33.9226890756303,"Soc. de Econ. Mista com Adm. Pública",1785,26.3840089585666,2.65,128.17,0,168.13,83.26,2.37,97.94,97.94,54.0834845735027,62.8526645768025,1.94475918463547,100,40.386239729709
73,"Saltinho",67.2934187135265,"Piracicaba","Campinas",234405,29.2312008978676,"Soc. de Econ. Mista com Adm. Pública",8019,2.88089163405088,2.63,139.16,11.33,52.06,89.71,2.31,100,100,54.4464609800363,63.7931034482759,0.212349854567526,85.5797378134148,44.6056976119174
74,"São José do Rio Preto",67.2096862817635,"São José do Rio Preto","São José do Rio Preto",16493968,36.5998264755679,"Administração pública",450657,105.071846880514,2.19,130.67,10.52,244.06,95.81,2.19,89.03,89.03,62.431941923775,65.6739811912226,7.74482147835776,86.6106656484664,41.346080012286
75,"Presidente Alves",67.1999382716684,"Bauru","Bauru",63297,15.2339350180505,"Soc. de Econ. Mista com Adm. Pública",4155,58.6259128529698,2.73,98.28,0.12,142.85,89.82,2.42,100,100,52.6315789473684,62.0689655172414,4.32130244715644,99.8472699503627,28.9103893112186
76,"Rubiácea",67.1683470216619,"Araçatuba","Araçatuba",62016,20.3598161523309,"Soc. de Econ. Mista com Adm. Pública",3046,19.0433074684772,2.65,92.02,0,137.97,92.5,2.37,100,100,54.0834845735027,62.8526645768025,1.4036777793442,100,26.5069492436459
77,"Jales",67.1288919333817,"Jales","São José do Rio Preto",1394460,28.3946243127673,"Soc. de Econ. Mista com Adm. Pública",49110,36.5373938503601,2.99,115.57,4.73,181.46,100,2.75,100,100,47.9128856624319,56.8965517241379,2.69316283149835,93.9798905434644,35.548644705521
78,"Parapuã",67.1146603612943,"Tupã","Marília",358234,32.3520274541678,"Soc. de Econ. Mista com Adm. Pública",11073,28.6545828779599,2.77,97.37,0,152.2,93.21,2.48,100,100,51.9056261343013,61.128526645768,2.11212266192462,100,28.5610074483606
79,"Osvaldo Cruz",67.0519122652346,"Adamantina","Presidente Prudente",878449,26.8564920969764,"Soc. de Econ. Mista com Adm. Pública",32709,64.05517860414,3.02,112.7,2.02,157.04,96.18,2.79,100,100,47.3684210526316,56.269592476489,4.7214923671946,97.4290441644394,34.4467480611226
80,"Birigui",67.0136633088343,"Araçatuba","Araçatuba",3146638,26.0716368939118,"Administração pública",120692,0.872088526385472,1.38,157.87,56.43,253.84,100,1.18,98.72,98.72,77.1324863883848,81.5047021943574,0.0642814431334811,28.1786941580756,51.7891422867235
